name1;name2;distance
Житомир;Каунас;609
Житомир;Житомир;0
Житомир;Вильюс;544
Житомир;Волгоград;1160
Житомир;Рига;803
Житомир;С.Петербург;1083
Житомир;Москва;857
Житомир;Вильнюс;544
Житомир;Даугавпилс;641
Житомир;Таллинн;1052
Житомир;Калининград;742
Житомир;Киев;134
Житомир;Витебск;558
Житомир;Минск;413
Житомир;Одесса;446
Житомир;Воронеж;756
Житомир;Кишинев;756
Житомир;Уфа;1907
Житомир;Самара;1511
Житомир;Казань;1497
Житомир;Ярославль;1101
Житомир;Орел;595
Житомир;Брест;403
Житомир;Харьков;542
Житомир;Ниж.Новгород;1222
Житомир;Мурманск;2099
Житомир;Донецк;712
Житомир;Симферополь;718
